stratum_order,stratum_family,truth_state,n_samples,red_noise_alpha,qpp_fraction,period_bin_id,period_lower_s,period_upper_s,period_lower_inclusive,period_upper_inclusive,duration_conditioned_period_support_upper_s,base_stratum_planned_backgrounds,exposure_status,exposure_count,selected_count,input_eligibility_numerator,input_eligibility_denominator,input_eligibility_point_estimate,input_eligibility_wilson_95_lower,input_eligibility_wilson_95_upper,conditional_selection_numerator,conditional_selection_denominator,conditional_selection_point_estimate,conditional_selection_wilson_95_lower,conditional_selection_wilson_95_upper,end_to_end_selection_numerator,end_to_end_selection_denominator,end_to_end_selection_point_estimate,end_to_end_selection_wilson_95_lower,end_to_end_selection_wilson_95_upper,primary_representation,probabilistic_model_fitted,challenge_rows_included,null_qpp_fraction_pooled
1,POSITIVE_BASE,SYNTHETIC_QPP_PRESENT,15,0.0,0.01,ALL_PERIODS,40.0,93.33333333333333,True,True,93.33333333333333,50,EXPOSED,50,0,50,50,1.0,0.9286524008666414,1.0,0,50,0.0,6.938893903907228e-18,0.07134759913335872,0,50,0.0,6.938893903907228e-18,0.07134759913335872,STRATIFIED_EMPIRICAL,False,0,False
2,POSITIVE_BASE,SYNTHETIC_QPP_PRESENT,15,0.0,0.02,ALL_PERIODS,40.0,93.33333333333333,True,True,93.33333333333333,50,EXPOSED,50,0,50,50,1.0,0.9286524008666414,1.0,0,50,0.0,6.938893903907228e-18,0.07134759913335872,0,50,0.0,6.938893903907228e-18,0.07134759913335872,STRATIFIED_EMPIRICAL,False,0,False
3,POSITIVE_BASE,SYNTHETIC_QPP_PRESENT,15,0.0,0.04,ALL_PERIODS,40.0,93.33333333333333,True,True,93.33333333333333,50,EXPOSED,50,0,50,50,1.0,0.9286524008666414,1.0,0,50,0.0,6.938893903907228e-18,0.07134759913335872,0,50,0.0,6.938893903907228e-18,0.07134759913335872,STRATIFIED_EMPIRICAL,False,0,False
4,POSITIVE_BASE,SYNTHETIC_QPP_PRESENT,15,1.0,0.01,ALL_PERIODS,40.0,93.33333333333333,True,True,93.33333333333333,50,EXPOSED,50,0,50,50,1.0,0.9286524008666414,1.0,0,50,0.0,6.938893903907228e-18,0.07134759913335872,0,50,0.0,6.938893903907228e-18,0.07134759913335872,STRATIFIED_EMPIRICAL,False,0,False
5,POSITIVE_BASE,SYNTHETIC_QPP_PRESENT,15,1.0,0.02,ALL_PERIODS,40.0,93.33333333333333,True,True,93.33333333333333,50,EXPOSED,50,0,50,50,1.0,0.9286524008666414,1.0,0,50,0.0,6.938893903907228e-18,0.07134759913335872,0,50,0.0,6.938893903907228e-18,0.07134759913335872,STRATIFIED_EMPIRICAL,False,0,False
6,POSITIVE_BASE,SYNTHETIC_QPP_PRESENT,15,1.0,0.04,ALL_PERIODS,40.0,93.33333333333333,True,True,93.33333333333333,50,EXPOSED,50,0,50,50,1.0,0.9286524008666414,1.0,0,50,0.0,6.938893903907228e-18,0.07134759913335872,0,50,0.0,6.938893903907228e-18,0.07134759913335872,STRATIFIED_EMPIRICAL,False,0,False
7,POSITIVE_BASE,SYNTHETIC_QPP_PRESENT,15,2.0,0.01,ALL_PERIODS,40.0,93.33333333333333,True,True,93.33333333333333,50,EXPOSED,50,0,50,50,1.0,0.9286524008666414,1.0,0,50,0.0,6.938893903907228e-18,0.07134759913335872,0,50,0.0,6.938893903907228e-18,0.07134759913335872,STRATIFIED_EMPIRICAL,False,0,False
8,POSITIVE_BASE,SYNTHETIC_QPP_PRESENT,15,2.0,0.02,ALL_PERIODS,40.0,93.33333333333333,True,True,93.33333333333333,50,EXPOSED,50,0,50,50,1.0,0.9286524008666414,1.0,0,50,0.0,6.938893903907228e-18,0.07134759913335872,0,50,0.0,6.938893903907228e-18,0.07134759913335872,STRATIFIED_EMPIRICAL,False,0,False
9,POSITIVE_BASE,SYNTHETIC_QPP_PRESENT,15,2.0,0.04,ALL_PERIODS,40.0,93.33333333333333,True,True,93.33333333333333,50,EXPOSED,50,0,50,50,1.0,0.9286524008666414,1.0,0,50,0.0,6.938893903907228e-18,0.07134759913335872,0,50,0.0,6.938893903907228e-18,0.07134759913335872,STRATIFIED_EMPIRICAL,False,0,False
10,POSITIVE_BASE,SYNTHETIC_QPP_PRESENT,30,0.0,0.01,ALL_PERIODS,40.0,193.33333333333334,True,True,193.33333333333334,50,EXPOSED,50,0,50,50,1.0,0.9286524008666414,1.0,0,50,0.0,6.938893903907228e-18,0.07134759913335872,0,50,0.0,6.938893903907228e-18,0.07134759913335872,STRATIFIED_EMPIRICAL,False,0,False
11,POSITIVE_BASE,SYNTHETIC_QPP_PRESENT,30,0.0,0.02,ALL_PERIODS,40.0,193.33333333333334,True,True,193.33333333333334,50,EXPOSED,50,0,50,50,1.0,0.9286524008666414,1.0,0,50,0.0,6.938893903907228e-18,0.07134759913335872,0,50,0.0,6.938893903907228e-18,0.07134759913335872,STRATIFIED_EMPIRICAL,False,0,False
12,POSITIVE_BASE,SYNTHETIC_QPP_PRESENT,30,0.0,0.04,ALL_PERIODS,40.0,193.33333333333334,True,True,193.33333333333334,50,EXPOSED,50,0,50,50,1.0,0.9286524008666414,1.0,0,50,0.0,6.938893903907228e-18,0.07134759913335872,0,50,0.0,6.938893903907228e-18,0.07134759913335872,STRATIFIED_EMPIRICAL,False,0,False
13,POSITIVE_BASE,SYNTHETIC_QPP_PRESENT,30,1.0,0.01,ALL_PERIODS,40.0,193.33333333333334,True,True,193.33333333333334,50,EXPOSED,50,0,50,50,1.0,0.9286524008666414,1.0,0,50,0.0,6.938893903907228e-18,0.07134759913335872,0,50,0.0,6.938893903907228e-18,0.07134759913335872,STRATIFIED_EMPIRICAL,False,0,False
14,POSITIVE_BASE,SYNTHETIC_QPP_PRESENT,30,1.0,0.02,ALL_PERIODS,40.0,193.33333333333334,True,True,193.33333333333334,50,EXPOSED,50,0,50,50,1.0,0.9286524008666414,1.0,0,50,0.0,6.938893903907228e-18,0.07134759913335872,0,50,0.0,6.938893903907228e-18,0.07134759913335872,STRATIFIED_EMPIRICAL,False,0,False
15,POSITIVE_BASE,SYNTHETIC_QPP_PRESENT,30,1.0,0.04,ALL_PERIODS,40.0,193.33333333333334,True,True,193.33333333333334,50,EXPOSED,50,0,50,50,1.0,0.9286524008666414,1.0,0,50,0.0,6.938893903907228e-18,0.07134759913335872,0,50,0.0,6.938893903907228e-18,0.07134759913335872,STRATIFIED_EMPIRICAL,False,0,False
16,POSITIVE_BASE,SYNTHETIC_QPP_PRESENT,30,2.0,0.01,ALL_PERIODS,40.0,193.33333333333334,True,True,193.33333333333334,50,EXPOSED,50,0,50,50,1.0,0.9286524008666414,1.0,0,50,0.0,6.938893903907228e-18,0.07134759913335872,0,50,0.0,6.938893903907228e-18,0.07134759913335872,STRATIFIED_EMPIRICAL,False,0,False
17,POSITIVE_BASE,SYNTHETIC_QPP_PRESENT,30,2.0,0.02,ALL_PERIODS,40.0,193.33333333333334,True,True,193.33333333333334,50,EXPOSED,50,0,50,50,1.0,0.9286524008666414,1.0,0,50,0.0,6.938893903907228e-18,0.07134759913335872,0,50,0.0,6.938893903907228e-18,0.07134759913335872,STRATIFIED_EMPIRICAL,False,0,False
18,POSITIVE_BASE,SYNTHETIC_QPP_PRESENT,30,2.0,0.04,ALL_PERIODS,40.0,193.33333333333334,True,True,193.33333333333334,50,EXPOSED,50,0,50,50,1.0,0.9286524008666414,1.0,0,50,0.0,6.938893903907228e-18,0.07134759913335872,0,50,0.0,6.938893903907228e-18,0.07134759913335872,STRATIFIED_EMPIRICAL,False,0,False
19,POSITIVE_BASE,SYNTHETIC_QPP_PRESENT,60,0.0,0.01,ALL_PERIODS,40.0,300.0,True,True,300.0,50,EXPOSED,50,0,50,50,1.0,0.9286524008666414,1.0,0,50,0.0,6.938893903907228e-18,0.07134759913335872,0,50,0.0,6.938893903907228e-18,0.07134759913335872,STRATIFIED_EMPIRICAL,False,0,False
20,POSITIVE_BASE,SYNTHETIC_QPP_PRESENT,60,0.0,0.02,ALL_PERIODS,40.0,300.0,True,True,300.0,50,EXPOSED,50,0,50,50,1.0,0.9286524008666414,1.0,0,50,0.0,6.938893903907228e-18,0.07134759913335872,0,50,0.0,6.938893903907228e-18,0.07134759913335872,STRATIFIED_EMPIRICAL,False,0,False
